03/01/2007 12.00,0.476,0.872,0.872,0.112,0.122,0.279,0.681,0.54,0.872
03/01/2007 13.00,0.571,0.872,0.872,0.121,0.119,0.276,0.849,0.749,0.872
03/01/2007 14.00,0.222,0.421,0.405,0.087,0.065,0.138,0.394,0.386,0.362
03/01/2007 15.00,0.109,0.135,0.184,0,0.065,0.005,0.102,0.132,0.065
03/01/2007 16.00,0.01,0.064,0.107,0,0.001,0.042,0.084,0.09,0.053
03/01/2007 17.00,0.029,0.043,0.133,0,0,0,0.042,0.072,0.026
03/01/2007 18.00,0.007,0.042,0.1,0,0,0,0.051,0.076,0.045
03/01/2007 19.00,0.027,0.06,0.056,0,0,0,0.047,0.084,0.108
03/01/2007 20.00,0,0.118,0.031,0,0,0,0.05,0.056,0.042
03/01/2007 21.00,0.034,0.005,0.088,0,0,0.032,0.047,0.038,0.08
03/01/2007 22.00,0,0.074,0.129,0,0,0.04,0.127,0.148,0.228
03/01/2007 23.00,0.138,0.208,0.249,0,0.011,0.064,0.201,0.185,0.309
04/01/2007 00.00,0.15,0.422,0.433,0,0,0.047,0.222,0.136,0.166
04/01/2007 01.00,0.25,0.556,0.524,0,0,0.025,0.232,0.195,0.115
04/01/2007 02.00,0.312,0.388,0.326,0,0,0.031,0.163,0.21,0.052
04/01/2007 03.00,0.381,0.37,0.314,0,0,0,0.178,0.124,0.061
04/01/2007 04.00,0.267,0.369,0.365,0,0,0,0.126,0.105,0.147
04/01/2007 05.00,0.162,0.356,0.335,0,0,0,0.019,0.112,0.318
04/01/2007 06.00,0.065,0.426,0.14,0,0,0,0.005,0.052,0.371
04/01/2007 07.00,0.111,0.24,0.117,0,0,0.012,0,0.034,0.183
04/01/2007 08.00,0.043,0.176,0.03,0,0,0,0,0.004,0.269
04/01/2007 09.00,0,0.071,0.028,0,0,0.007,0.03,0.024,0.424
04/01/2007 10.00,0,0.067,0,0,0,0,0.029,0.038,0.412
04/01/2007 11.00,0,0.03,0,0,0,0,0.033,0.069,0.47
04/01/2007 12.00,0,0,0,0,0,0.01,0,0.173,0.429
04/01/2007 13.00,0,0,0,0,0,0,0.04,0.308,0.21
04/01/2007 14.00,0,0,0,0,0,0,0.216,0.295,0.281
04/01/2007 15.00,0,0,0.022,0,0,0,0.1,0.206,0.12
04/01/2007 16.00,0,0.016,0.036,0,0,0,0.061,0.03,0.032
04/01/2007 17.00,0.034,0.118,0.043,0,0,0,0.004,0,0.018
04/01/2007 18.00,0.03,0.09,0.079,0,0,0,0,0,0
